,SB 1289 Measure 1. Total Call Volume,,,,
Reporting Period,County Name,Number of Calls Received During Working Hours,Number of Calls Received After Working Hours,Total Number of Calls Received,Footnotes
Jun-26,San Luis Obispo,"2,727",117,"2,844",[C]
Jun-26,San Mateo,"26,382","2,567","28,949",[C]
Jun-26,Santa Barbara,"23,515","3,371","26,886",[C]
Jun-26,Santa Clara,"56,751","6,196","62,947",[D]
Jun-26,Santa Cruz,"12,912","1,865","14,777","[C, G, P]"
Jun-26,Shasta,"9,679","1,925","11,604","[C, G, P]"
Jun-26,Solano,"18,565","1,174","19,739","[C, G, L]"
Jun-26,Sonoma,"12,953","4,234","17,187",[C]
Jun-26,Stanislaus,"35,426","3,020","38,446",[C]
Jun-26,Sutter,"6,160",547,"6,707",[B]
Jun-26,Tulare,"41,511","7,256","48,767","[C, G, P]"
Jun-26,Ventura,"29,580","3,049","32,629",[C]
Jun-26,Yolo,"8,136","1,029","9,165",[C]
Jun-26,Yuba,"8,210",448,"8,658",[C]
